R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0232:585-607,661.10253594572,613.048092465444,658.941993056172,605.675245289557,581.901250886872,690.788001401774
crRNA0233:587-609,533.051155967632,510.847204909654,497.826473397782,603.315293408851,556.713771112556,503.080529306772
crRNA0234:589-611,729.510293027682,698.136740571307,733.002913677024,799.902146304939,697.86299520982,710.193008819411
crRNA0235:591-613,568.536104694658,551.957153673195,564.357649136129,593.214874404478,527.719944532306,463.988411894814
crRNA0236:593-615,614.628257284572,638.367276492486,604.917513651602,589.197311679529,537.971947283355,480.134449535647
crRNA0237:595-617,721.570542436171,728.963381235692,838.580034642839,878.377846214159,680.183858122484,602.410948950449
crRNA0238:617-639,609.383673171218,519.569773561699,491.731409219371,490.463589472041,679.231541481485,552.429296581667
crRNA0239:619-641,677.014055230991,685.495951973854,693.886187994264,666.206306829601,678.697421814177,737.912153487726
crRNA0240:621-643,784.555626203791,925.543496049583,988.191532905358,957.943726029477,684.348778890825,641.137239311687
crRNA0241:623-645,832.656610459512,870.731730370146,1203.00917845672,1321.71460165581,532.318195372575,399.97900117187
crRNA0242:625-647,853.260207297621,951.542376083242,2049.36063773407,2191.52947541521,494.96391953796,398.730071928185
crRNA0243:627-649,736.13845566514,680.566925468995,1046.28267423848,1030.70948421013,571.7081156936,550.850575676038
crRNA0244:629-651,505.840635244852,503.748914951421,555.504051585644,653.652793947783,423.412786651849,409.164832061812
crRNA0245:680-702,189.282796847013,138.771142364991,159.621186020923,157.057515286157,161.490687233847,167.316498962319
crRNA0246:682-704,189.490529791307,202.768234823256,182.606009826864,175.605446879925,174.75926189321,217.558602640919
crRNA0247:684-706,305.429911591723,284.548788836093,253.979124058877,236.272488973933,261.196990266784,339.983091773923
crRNA0248:686-708,212.526518062352,173.2596367798,185.690851408063,162.575766352135,183.165242383868,214.784679841232
crRNA0249:688-710,168.078987214369,157.710611896796,155.676680798917,151.874093646653,190.107207136096,200.048175433587
crRNA0250:690-712,469.195367363187,502.0621845214,453.699911748564,468.188021532635,530.720068202536,438.782700832901
crRNA0251:692-714,394.276087643496,367.095401600271,432.564299330904,454.354542833817,392.24403740647,395.251456529884
crRNA0252:694-716,214.216860080636,199.638603547971,201.665628504899,216.468147519067,207.473372228896,213.841325862415
crRNA0253:696-718,487.794562858769,490.232523791524,391.779492764447,371.970882359704,442.758165670131,457.344911958945
crRNA0254:698-720,680.113751240684,600.651350332428,594.916603672571,716.571470992274,480.180732896614,484.332970477424
crRNA0255:700-722,498.782266043979,589.379831240971,652.361364390438,629.767459203364,535.912250254334,452.84121954617
crRNA0256:702-724,557.214541047226,588.807971654527,586.207792074263,610.706868016052,396.429147764834,339.034371724544
crRNA0257:704-726,651.470961203217,793.892411076552,818.533003169011,797.567986152414,771.150092279374,561.001466729263
crRNA0258:706-728,773.604794282661,709.557306582355,665.045872507397,779.774525133923,714.815196074297,610.035682311984
crRNA0259:708-730,567.238873410598,586.34467362218,765.980442623716,667.457800907034,408.0930768813,367.817899136384
crRNA0260:710-732,659.376834886799,768.746261716423,902.707784336904,990.678039377399,566.15186147462,455.183167019412
crRNA0261:712-734,537.012503416342,559.877090263389,1386.96966350797,1463.61052268606,237.891777845512,212.157364868653
crRNA0262:714-736,561.268048056618,593.936157254254,721.90719780181,778.067839555693,324.712952191243,316.250771569396
crRNA0263:716-738,432.326540505633,452.785075529165,643.017086739164,569.95411571327,315.383451421213,310.361802858141
crRNA0264:718-740,528.690847829303,549.732313876943,542.071316115962,576.21538166335,428.206425401662,420.705817154351
crRNA0265:720-742,490.689320733641,467.984993998601,486.88111539265,533.41704612882,536.699782927365,470.67117390644
crRNA0266:722-744,435.606163329782,444.304881382103,506.561910585906,436.290803308535,411.897163142222,447.832880036284
crRNA0267:724-746,589.648462817795,599.507939209405,499.711283540486,576.586427397598,582.759442700428,572.757293604685
crRNA0268:726-748,499.74934139176,570.409315428059,708.207100555049,590.2372124774,591.760110431019,615.221400339841
