R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0170:182-204,578.087153891453,488.58158977629,720.350357706289,844.285659419274,368.420064219394,392.657345761614
crRNA0171:183-205,473.87113385247,572.466502306689,671.816113747354,861.515978999259,386.764631732393,382.766732518249
crRNA0172:184-206,627.077590661915,715.903299305232,1539.04642027673,1129.03936195166,536.578599755217,461.891638465174
crRNA0173:185-207,660.034793580226,777.376212304608,793.15172364469,559.531956886887,661.933144427375,698.277294981611
crRNA0174:186-208,733.075081128915,822.200211366653,1026.88242481535,1041.07404620121,573.267734781214,680.474191143553
crRNA0175:187-209,749.999050195074,654.430386305856,693.528801834246,601.247467448957,655.818288589709,680.474191143553
crRNA0176:188-210,797.20801653752,793.384783398196,894.051862401422,996.637958863354,692.507423615707,643.878922143101
crRNA0177:189-211,729.512140272881,904.164095365821,1680.81750131467,1820.97272192686,350.075496706395,414.416694897019
crRNA0178:190-212,689.429055642503,629.45701539986,1037.10016038565,963.084178628646,391.350773610642,474.749435681549
crRNA0179:191-213,647.564500584108,553.896559838127,1250.3953904157,1298.62198097573,559.509309146465,368.919873977537
crRNA0180:192-214,769.595224903259,896.479981240899,1674.43141658323,956.736166151809,689.449995696874,715.091337495333
crRNA0181:193-215,936.16270992283,747.280098648664,766.330167772647,677.423617170997,856.07981727328,891.144253227241
crRNA0182:194-216,720.604788132797,793.384783398196,1194.19784477904,898.697194935017,642.05986295496,556.841525601483
crRNA0183:195-217,982.480941051267,959.873922771506,1770.22268755482,1548.00818542288,553.394453308799,512.333766006338
crRNA0184:197-219,627.077590661915,696.693013992927,1430.48297984228,930.4372573192,502.946892648052,522.224379249704
crRNA0185:198-220,687.647585214486,740.876670211229,744.617479685756,656.565861889962,654.289574630293,558.819648250156
crRNA0186:199-221,663.597734436259,798.507526148144,951.526624984371,688.305924274145,553.394453308799,564.754016196176
crRNA0187:200-222,630.640531517948,596.799530368942,1144.38638387382,992.103664237042,486.13103909447,395.624529734624
crRNA0188:201-223,594.120387743604,519.958389119722,883.83412683112,917.741232365527,369.94877817881,354.083954112488
crRNA0189:202-224,718.82331770478,726.148784805128,707.578188243411,590.365160345808,686.392567778041,746.741299874103
crRNA0190:203-225,897.861095720469,817.717811460449,796.983374483553,976.687062507581,655.818288589709,769.489710333844
crRNA0191:204-226,627.077590661915,700.535071055388,620.727435895844,534.139906979541,784.230261180701,857.516168199798
crRNA0192:205-227,654.690382296175,719.10501352395,770.161818611511,614.850351327892,698.622279453373,689.375743062582
crRNA0193:206-228,602.13700466968,737.034613148768,920.873418273465,1022.93686769596,450.970618027889,513.322827330675
crRNA0194:207-229,741.09169805499,618.571187056221,581.133710560924,809.825020259304,787.287689099534,523.21344057404
crRNA0195:208-230,694.773466926553,747.280098648664,535.153900494565,615.757210253155,807.16097057195,796.194366090931
crRNA0196:209-231,391.032758949688,408.538734308353,420.204375328668,329.189789870243,426.511194677223,403.537020329316
crRNA0197:210-232,322.446147471041,310.566279215597,334.630839927389,282.0331257566,331.730929193396,200.779448840322
crRNA0198:211-233,436.460254864117,493.063989682495,568.361541098047,454.336321556452,466.257757622054,491.56347819527
crRNA0199:212-234,367.87364338547,379.082963496152,429.144893952683,397.204209264922,501.418178688635,374.854241923556
crRNA0200:213-235,397.267905447747,427.108676776914,441.91706341556,583.110288943709,272.11108477615,288.805906706275
crRNA0201:214-236,476.543339494495,563.50170249428,541.539985226004,666.541310067848,340.903212949895,375.843303247893
crRNA0202:215-237,440.023195720151,537.247645900796,399.768904188064,454.336321556452,551.865739349382,489.585355546597
crRNA0203:216-238,711.697435992713,591.03644477525,726.736442437727,804.38386670773,590.083588334797,512.333766006338
crRNA0204:217-239,856.887275876083,956.672208552788,1314.25623773009,1334.89633798622,651.232146711459,689.375743062582
crRNA0205:218-240,767.813754475242,655.0707291496,1038.37737733194,889.628605682393,574.796448740631,472.771313032876
crRNA0206:219-241,694.773466926553,767.771069648456,1352.57274611872,1059.21122470646,561.038023105882,468.815067735529
crRNA0207:220-242,611.935092023772,654.430386305856,752.280781363482,907.765784187641,634.416293157877,486.618171573588
crRNA0208:221-243,517.517159338881,650.588329243395,717.795923813713,687.399065348883,450.970618027889,471.782251708539
crRNA0209:222-244,546.02068618715,667.87758602447,528.767815763127,480.63523038906,605.370727928962,499.475968789963
crRNA0210:223-245,602.13700466968,586.554044869045,807.201110053855,824.334763063502,398.994343407725,381.777671193912
crRNA0211:224-246,405.284522373823,302.241822246932,411.263856704654,424.409977022793,229.307093912486,226.495043273072
crRNA0212:225-247,358.966291245386,445.038276401732,528.767815763127,554.997662260576,313.386361680397,259.134066976179
crRNA0213:226-248,320.664677043025,431.591076683119,772.716252504086,616.664069178417,262.93880101965,285.838722733266
crRNA0214:228-250,600.355534241663,656.99175768083,542.817202172292,840.658223718225,651.232146711459,537.060299114752
crRNA0215:229-251,504.156131128755,478.976447120138,533.876683548278,609.409197776318,392.879487570059,458.924454492164
crRNA0216:230-252,635.09420758799,484.739532713829,996.229218104442,1061.02494255698,463.200329703221,369.908935301873
crRNA0217:231-253,562.94465525331,576.30855936915,1965.63688033684,1925.26149833203,273.639798735566,271.002802868217
crRNA0218:232-254,480.997015564537,582.071644962841,1120.11926189435,1119.97077269904,347.018068787562,415.405756221355
crRNA0219:233-255,551.365097471201,557.738616900588,728.013659384015,584.924006794234,437.212192393139,453.979147870481
crRNA0220:234-256,432.006578794075,395.091534589739,682.033849317656,566.786828288986,284.340796451482,319.466807760709
crRNA0221:235-257,356.294085603361,395.731877433483,606.678049486679,556.8113801111,296.570508126815,406.504204302326
crRNA0222:236-258,519.298629766898,412.380791370814,392.105602510338,350.95440407654,513.647890363968,386.722977815595
crRNA0223:237-259,314.429530544966,370.118163683743,394.660036402913,283.846843607124,412.752769042474,384.744855166922
